Epoch | LR | Training Loss | Validation Loss | PSNR | Time
1 | 0.001 | 0.01216 | 0.00630 | 22.101 | 175.5
2 | 0.001 | 0.00240 | 0.00353 | 24.655 | 175.8
3 | 0.001 | 0.00193 | 0.00262 | 25.976 | 176.4
4 | 0.001 | 0.00953 | 0.00904 | 20.450 | 176.7
5 | 0.001 | 0.00908 | 0.00904 | 20.448 | 176.6
6 | 0.001 | 0.00506 | 0.00211 | 27.100 | 176.8
7 | 0.001 | 0.00170 | 0.00188 | 27.587 | 176.6
8 | 0.001 | 0.00165 | 0.00177 | 27.933 | 176.4
9 | 0.001 | 0.00170 | 0.00182 | 27.811 | 176.1
10 | 0.001 | 0.00158 | 0.00178 | 27.898 | 176.1
11 | 0.001 | 0.00161 | 0.00189 | 27.575 | 175.9
12 | 0.001 | 0.00159 | 0.00433 | 26.756 | 175.8
13 | 0.001 | 0.00162 | 0.00180 | 27.860 | 175.6
14 | 0.001 | 0.00158 | 0.00169 | 28.133 | 175.6
15 | 0.001 | 0.00158 | 0.00169 | 28.143 | 175.5
16 | 0.001 | 0.00155 | 0.00166 | 28.219 | 175.6
17 | 0.001 | 0.00155 | 0.00167 | 28.167 | 175.5
18 | 0.001 | 0.00155 | 0.00164 | 28.279 | 175.5
19 | 0.001 | 0.00155 | 0.00165 | 28.283 | 175.4
20 | 0.001 | 0.00154 | 0.00166 | 28.243 | 175.3
