Epoch | LR | Training Loss | Validation Loss | PSNR | Time
1 | 0.01000 | 0.01497 | 0.00969 | 20.168 | 174.8
2 | 0.00910 | 0.00758 | 0.00806 | 20.976 | 175.3
3 | 0.00829 | 0.00634 | 0.00700 | 21.590 | 175.9
4 | 0.00754 | 0.00565 | 0.00645 | 21.961 | 176.3
5 | 0.00687 | 0.00525 | 0.00608 | 22.224 | 176.4
6 | 0.00625 | 0.00496 | 0.00588 | 22.376 | 176.7
7 | 0.00569 | 0.00476 | 0.00575 | 22.484 | 176.9
8 | 0.00518 | 0.00460 | 0.00563 | 22.582 | 176.9
9 | 0.00471 | 0.00446 | 0.00558 | 22.630 | 177.1
10 | 0.00429 | 0.00436 | 0.00549 | 22.706 | 176.8
11 | 0.00391 | 0.00427 | 0.00546 | 22.743 | 177.2
12 | 0.00356 | 0.00420 | 0.00541 | 22.787 | 177.1
13 | 0.00324 | 0.00413 | 0.00539 | 22.809 | 177.3
14 | 0.00295 | 0.00408 | 0.00537 | 22.827 | 177.1
15 | 0.00268 | 0.00404 | 0.00535 | 22.842 | 177.1
16 | 0.00244 | 0.00399 | 0.00535 | 22.856 | 177.1
17 | 0.00222 | 0.00396 | 0.00532 | 22.876 | 177.4
18 | 0.00202 | 0.00393 | 0.00532 | 22.885 | 177.3
19 | 0.00184 | 0.00390 | 0.00535 | 22.865 | 177.2
20 | 0.00168 | 0.00388 | 0.00531 | 22.892 | 177.3
21 | 0.00153 | 0.00386 | 0.00532 | 22.892 | 177.3
22 | 0.00139 | 0.00384 | 0.00531 | 22.898 | 177.4
23 | 0.00126 | 0.00383 | 0.00530 | 22.916 | 177.4
24 | 0.00115 | 0.00381 | 0.00529 | 22.920 | 177.3
25 | 0.00105 | 0.00381 | 0.00531 | 22.910 | 177.4
26 | 0.00095 | 0.00379 | 0.00530 | 22.916 | 177.2
27 | 0.00087 | 0.00377 | 0.00530 | 22.919 | 177.2
28 | 0.00079 | 0.00377 | 0.00530 | 22.914 | 177.0
29 | 0.00072 | 0.00376 | 0.00531 | 22.911 | 177.2
30 | 0.00066 | 0.00375 | 0.00530 | 22.918 | 177.1
31 | 0.00060 | 0.00374 | 0.00533 | 22.902 | 177.3
32 | 0.00054 | 0.00374 | 0.00531 | 22.908 | 177.2
33 | 0.00049 | 0.00374 | 0.00534 | 22.895 | 177.3
34 | 0.00045 | 0.00373 | 0.00531 | 22.915 | 177.3
35 | 0.00041 | 0.00372 | 0.00530 | 22.924 | 177.6
36 | 0.00037 | 0.00372 | 0.00531 | 22.918 | 177.6
37 | 0.00034 | 0.00371 | 0.00531 | 22.919 | 177.7
38 | 0.00031 | 0.00371 | 0.00531 | 22.918 | 177.5
39 | 0.00028 | 0.00371 | 0.00531 | 22.916 | 177.3
40 | 0.00026 | 0.00370 | 0.00531 | 22.921 | 177.1
41 | 0.00023 | 0.00370 | 0.00531 | 22.919 | 177.3
42 | 0.00021 | 0.00370 | 0.00532 | 22.912 | 177.4
43 | 0.00019 | 0.00369 | 0.00531 | 22.917 | 177.6
44 | 0.00018 | 0.00369 | 0.00531 | 22.919 | 177.4
45 | 0.00016 | 0.00370 | 0.00532 | 22.913 | 177.4
46 | 0.00015 | 0.00369 | 0.00531 | 22.919 | 177.1
47 | 0.00013 | 0.00369 | 0.00530 | 22.926 | 177.4
48 | 0.00012 | 0.00369 | 0.00531 | 22.918 | 177.4
49 | 0.00011 | 0.00369 | 0.00531 | 22.918 | 177.4
50 | 0.00010 | 0.00369 | 0.00530 | 22.928 | 177.3
