Epoch | LR | Training Loss | Validation Loss | PSNR | Time
1 | 0.01000 | 0.02787 | 0.00859 | 20.674 | 177.4
2 | 0.00910 | 0.00763 | 0.00712 | 21.491 | 177.8
3 | 0.00829 | 0.00633 | 0.00617 | 22.125 | 178.9
4 | 0.00754 | 0.00559 | 0.00560 | 22.550 | 179.7
5 | 0.00687 | 0.00514 | 0.00526 | 22.834 | 180.5
6 | 0.00625 | 0.00484 | 0.00502 | 23.053 | 181.2
7 | 0.00569 | 0.00461 | 0.00485 | 23.217 | 181.6
8 | 0.00518 | 0.00444 | 0.00473 | 23.344 | 181.5
9 | 0.00471 | 0.00430 | 0.00464 | 23.446 | 182.2
10 | 0.00429 | 0.00419 | 0.00455 | 23.546 | 182.4
11 | 0.00391 | 0.00410 | 0.00450 | 23.596 | 182.6
12 | 0.00356 | 0.00402 | 0.00444 | 23.675 | 182.8
13 | 0.00324 | 0.00396 | 0.00438 | 23.739 | 182.3
14 | 0.00295 | 0.00391 | 0.00438 | 23.757 | 182.9
15 | 0.00268 | 0.00386 | 0.00436 | 23.786 | 182.9
16 | 0.00244 | 0.00382 | 0.00432 | 23.834 | 182.7
17 | 0.00222 | 0.00378 | 0.00429 | 23.869 | 182.8
18 | 0.00202 | 0.00375 | 0.00431 | 23.859 | 182.7
19 | 0.00184 | 0.00372 | 0.00427 | 23.899 | 182.8
20 | 0.00168 | 0.00370 | 0.00426 | 23.922 | 182.4
21 | 0.00153 | 0.00368 | 0.00425 | 23.935 | 182.7
22 | 0.00139 | 0.00366 | 0.00424 | 23.954 | 182.8
23 | 0.00126 | 0.00365 | 0.00422 | 23.981 | 182.3
24 | 0.00115 | 0.00363 | 0.00422 | 23.972 | 182.6
25 | 0.00105 | 0.00362 | 0.00420 | 23.999 | 182.7
26 | 0.00095 | 0.00361 | 0.00421 | 24.001 | 182.6
27 | 0.00087 | 0.00360 | 0.00421 | 24.007 | 182.2
28 | 0.00079 | 0.00359 | 0.00419 | 24.023 | 182.1
29 | 0.00072 | 0.00358 | 0.00420 | 24.018 | 182.5
30 | 0.00066 | 0.00357 | 0.00417 | 24.044 | 182.4
31 | 0.00060 | 0.00357 | 0.00419 | 24.034 | 182.4
32 | 0.00054 | 0.00356 | 0.00418 | 24.043 | 182.2
33 | 0.00049 | 0.00355 | 0.00419 | 24.036 | 182.2
34 | 0.00045 | 0.00354 | 0.00418 | 24.051 | 182.1
35 | 0.00041 | 0.00354 | 0.00417 | 24.055 | 182.5
36 | 0.00037 | 0.00354 | 0.00417 | 24.058 | 182.3
37 | 0.00034 | 0.00353 | 0.00416 | 24.067 | 182.4
38 | 0.00031 | 0.00353 | 0.00418 | 24.062 | 182.3
39 | 0.00028 | 0.00352 | 0.00418 | 24.058 | 182.3
40 | 0.00026 | 0.00352 | 0.00417 | 24.068 | 182.3
41 | 0.00023 | 0.00351 | 0.00418 | 24.064 | 182.0
42 | 0.00021 | 0.00352 | 0.00417 | 24.071 | 182.3
43 | 0.00019 | 0.00351 | 0.00415 | 24.078 | 182.4
44 | 0.00018 | 0.00352 | 0.00416 | 24.084 | 182.0
45 | 0.00016 | 0.00351 | 0.00416 | 24.078 | 182.3
46 | 0.00015 | 0.00351 | 0.00416 | 24.081 | 182.3
47 | 0.00013 | 0.00351 | 0.00415 | 24.086 | 181.8
48 | 0.00012 | 0.00351 | 0.00416 | 24.082 | 182.1
49 | 0.00011 | 0.00351 | 0.00416 | 24.086 | 181.7
50 | 0.00010 | 0.00350 | 0.00413 | 24.102 | 182.1
