Epoch | LR | Training Loss | Validation Loss | PSNR | Time
1 | 0.01000 | 0.04032 | 0.00931 | 20.320 | 176.0
2 | 0.00925 | 0.01019 | 0.00834 | 20.844 | 176.6
3 | 0.00855 | 0.00301 | 0.00200 | 27.251 | 177.8
4 | 0.00791 | 0.00184 | 0.00190 | 27.526 | 178.3
5 | 0.00732 | 0.00194 | 0.00191 | 27.506 | 178.1
6 | 0.00677 | 0.00638 | 0.00901 | 20.465 | 177.6
7 | 0.00626 | 0.00302 | 0.00210 | 27.051 | 177.2
8 | 0.00579 | 0.00199 | 0.00192 | 27.542 | 176.9
9 | 0.00536 | 0.00188 | 0.00256 | 27.015 | 176.7
10 | 0.00495 | 0.00224 | 0.00203 | 27.228 | 176.4
11 | 0.00458 | 0.00181 | 0.00188 | 27.580 | 176.3
12 | 0.00424 | 0.00166 | 0.00182 | 27.808 | 176.4
13 | 0.00392 | 0.00163 | 0.00173 | 27.985 | 176.3
14 | 0.00363 | 0.00162 | 0.00180 | 27.719 | 176.3
15 | 0.00335 | 0.00162 | 0.00174 | 27.936 | 176.3
16 | 0.00310 | 0.00161 | 0.00173 | 28.014 | 176.2
17 | 0.00287 | 0.00161 | 0.00175 | 27.946 | 176.3
18 | 0.00265 | 0.00160 | 0.00171 | 28.070 | 176.1
19 | 0.00245 | 0.00160 | 0.00171 | 28.023 | 176.2
20 | 0.00227 | 0.00160 | 0.00172 | 28.030 | 176.2
21 | 0.00210 | 0.00159 | 0.00172 | 27.959 | 176.2
22 | 0.00194 | 0.00159 | 0.00168 | 28.174 | 176.1
23 | 0.00180 | 0.00158 | 0.00172 | 28.027 | 176.2
24 | 0.00166 | 0.00157 | 0.00168 | 28.152 | 176.0
25 | 0.00154 | 0.00158 | 0.00171 | 28.082 | 176.1
26 | 0.00142 | 0.00157 | 0.00170 | 28.034 | 176.1
27 | 0.00131 | 0.00157 | 0.00170 | 28.114 | 176.1
28 | 0.00122 | 0.00157 | 0.00169 | 28.106 | 176.2
29 | 0.00112 | 0.00157 | 0.00169 | 28.132 | 176.2
30 | 0.00104 | 0.00157 | 0.00167 | 28.169 | 176.1
31 | 0.00096 | 0.00156 | 0.00166 | 28.175 | 176.2
32 | 0.00089 | 0.00155 | 0.00168 | 28.139 | 176.2
33 | 0.00082 | 0.00155 | 0.00165 | 28.295 | 176.0
34 | 0.00076 | 0.00155 | 0.00166 | 28.193 | 176.0
35 | 0.00070 | 0.00155 | 0.00165 | 28.228 | 175.9
36 | 0.00065 | 0.00155 | 0.00166 | 28.172 | 175.8
37 | 0.00060 | 0.00154 | 0.00164 | 28.285 | 180.4
38 | 0.00056 | 0.00154 | 0.00165 | 28.248 | 179.2
39 | 0.00052 | 0.00154 | 0.00165 | 28.256 | 177.0
40 | 0.00048 | 0.00154 | 0.00164 | 28.302 | 176.7
41 | 0.00044 | 0.00154 | 0.00164 | 28.286 | 176.4
42 | 0.00041 | 0.00154 | 0.00164 | 28.284 | 175.5
43 | 0.00038 | 0.00154 | 0.00163 | 28.319 | 175.9
44 | 0.00035 | 0.00153 | 0.00163 | 28.308 | 175.6
45 | 0.00032 | 0.00153 | 0.00164 | 28.270 | 175.7
46 | 0.00030 | 0.00153 | 0.00163 | 28.275 | 175.7
47 | 0.00028 | 0.00153 | 0.00162 | 28.348 | 175.6
48 | 0.00026 | 0.00153 | 0.00162 | 28.356 | 175.7
49 | 0.00024 | 0.00153 | 0.00162 | 28.354 | 175.6
50 | 0.00022 | 0.00152 | 0.00164 | 28.300 | 175.8
51 | 0.00020 | 0.00152 | 0.00162 | 28.346 | 175.8
52 | 0.00019 | 0.00153 | 0.00162 | 28.320 | 175.7
53 | 0.00017 | 0.00152 | 0.00161 | 28.389 | 175.8
54 | 0.00016 | 0.00152 | 0.00163 | 28.316 | 175.7
55 | 0.00015 | 0.00153 | 0.00162 | 28.385 | 175.6
56 | 0.00014 | 0.00152 | 0.00162 | 28.358 | 175.5
57 | 0.00013 | 0.00152 | 0.00162 | 28.346 | 176.8
58 | 0.00012 | 0.00152 | 0.00162 | 28.345 | 184.1
59 | 0.00011 | 0.00152 | 0.00161 | 28.405 | 176.8
60 | 0.00010 | 0.00152 | 0.00162 | 28.349 | 176.7
